"ジャンル","URL","車名","価格","全長 (mm)","全幅 (mm)","全高 (mm)","ホイールベース (mm)","シート高 (mm)","車両重量 (kg)","気筒数","シリンダ配列","排気量 (cc)","カム・バルブ駆動方式","気筒あたりバルブ数","最高出力（kW）","最高出力回転数（rpm）","最大トルク（N・m）","最大トルク回転数（rpm）"
0,"https://www.bikebros.co.jp/catalog/7/999_27/","ビーエムダブリュー | BMW　K1600グランドアメリカ | K1600GrandAmerica","",2560.0,1000.0,"",1618.0,750.0,370.0,6,"並列（直列）",1649.0,"DOHC",4,118.0,6750.0,180.0,5250.0
0,"https://www.bikebros.co.jp/catalog/7/3_17/","ビーエムダブリュー | BMW　K1600GT",3156000,2324.0,1000.0,"",1618.0,810.0,343.0,6,"並列（直列）",1649.0,"DOHC",4,118.0,6750.0,180.0,5250.0
0,"https://www.bikebros.co.jp/catalog/7/3_16/","ビーエムダブリュー | BMW　K1600GTL",3399000,2489.0,1000.0,"",1618.0,750.0,358.0,6,"並列（直列）",1649.0,"DOHC",4,118.0,6750.0,180.0,5250.0
0,"https://www.bikebros.co.jp/catalog/7/1_31/","ビーエムダブリュー | BMW　Rナインティ レーサー | R nineT Racer","",2105.0,770.0,1125.0,1490.0,805.0,218.0,2,"水平対向（ボクサー）",1169.0,"DOHC",4,81.0,7750.0,116.0,6000.0
0,"https://www.bikebros.co.jp/catalog/7/999_33/","ビーエムダブリュー | BMW　R1250GS",2446000,2205.0,965.0,1490.0,1510.0,850.0,256.0,2,"水平対向（ボクサー）",1254.0,"DOHC",4,100.0,7750.0,143.0,6250.0
0,"https://www.bikebros.co.jp/catalog/7/999_37/","ビーエムダブリュー | BMW　R1250GSアドベンチャー | R1250GS Adventure",2542000,2270.0,980.0,1530.0,1525.0,890.0,278.0,2,"水平対向（ボクサー）",1254.0,"DOHC",4,100.0,7750.0,143.0,6250.0
0,"https://www.bikebros.co.jp/catalog/7/999_36/","ビーエムダブリュー | BMW　R1250RS",2127000,2202.0,925.0,1255.0,1530.0,820.0,243.0,2,"水平対向（ボクサー）",1254.0,"DOHC",4,100.0,7750.0,143.0,6250.0
0,"https://www.bikebros.co.jp/catalog/7/999_34/","ビーエムダブリュー | BMW　R1250RT",3070000,2235.0,990.0,1580.0,1490.0,805.0,290.0,2,"水平対向（ボクサー）",1254.0,"DOHC",4,100.0,7750.0,143.0,6250.0
0,"https://www.bikebros.co.jp/catalog/8/999_56/","ドゥカティ | DUCATI　1299パニガーレRファイナルエディション | 1299 Panigale R Final Edition","",2075.0,800.0,1110.0,1435.0,830.0,190.0,2,"V型（L型）",1285.0,"",4,154.0,11000.0,142.0,9000.0
0,"https://www.bikebros.co.jp/catalog/8/999_31/","ドゥカティ | DUCATI　ディアベル1260 | Diavel 1260",2435000,2273.0,938.0,1151.0,1600.0,780.0,244.0,2,"V型（L型）",1262.0,"",4,117.0,9500.0,129.0,7500.0
0,"https://www.bikebros.co.jp/catalog/8/999_32/","ドゥカティ | DUCATI　ディアベル1260S | Diavel 1260S",2765000,2273.0,938.0,1151.0,1600.0,780.0,244.0,2,"V型（L型）",1262.0,"",4,117.0,9500.0,129.0,7500.0
0,"https://www.bikebros.co.jp/catalog/8/999_29/","ドゥカティ | DUCATI　ムルティストラーダ1260エンデューロ | Multistrada 1260 Enduro","",2280.0,985.0,1486.0,1600.0,860.0,256.0,2,"V型（L型）",1262.0,"",4,116.4,9500.0,128.0,7500.0
0,"https://www.bikebros.co.jp/catalog/8/999_83/","ドゥカティ | DUCATI　ムルティストラーダV4パイクスピーク | Multistrada V4 PikesPeak","","","","",1595.0,840.0,239.0,4,"V型（L型）",1158.0,"DOHC",4,125.0,10500.0,125.0,8750.0
0,"https://www.bikebros.co.jp/catalog/8/999_68/","ドゥカティ | DUCATI　ムルティストラーダV4S | Multistrada V4S",2930000,2301.0,990.0,1520.0,1565.0,820.0,243.0,4,"V型（L型）",1158.0,"DOHC",4,125.0,10500.0,125.0,8750.0
0,"https://www.bikebros.co.jp/catalog/8/999_69/","ドゥカティ | DUCATI　ムルティストラーダV4Sスポーツ | Multistrada V4S Sport",3565000,2301.0,990.0,1520.0,1565.0,840.0,242.0,4,"V型（L型）",1158.0,"DOHC",4,125.0,10500.0,125.0,8750.0
0,"https://www.bikebros.co.jp/catalog/8/999_23/","ドゥカティ | DUCATI　パニガーレV4 | Panigale V4",2802000,"","","",1469.0,850.0,198.5,4,"V型（L型）",1103.0,"",4,158.5,13000.0,123.6,9500.0
0,"https://www.bikebros.co.jp/catalog/8/999_48/","ドゥカティ | DUCATI　パニガーレV4 25°アニバーサリオ916 | Panigale V4 25°Anniversario916","",2100.0,805.0,1132.0,1469.0,830.0,194.0,4,"V型（L型）",1103.0,"",4,157.5,13000.0,124.0,10000.0
0,"https://www.bikebros.co.jp/catalog/8/999_24/","ドゥカティ | DUCATI　パニガーレV4S | Panigale V4S",3472000,"","","",1469.0,850.0,195.5,4,"V型（L型）",1103.0,"",4,158.5,13000.0,123.6,9500.0
0,"https://www.bikebros.co.jp/catalog/8/12_9/","ドゥカティ | DUCATI　Xディアベル | X Diavel",2385000,2310.0,1010.0,1133.0,1615.0,750.0,247.0,2,"V型（L型）",1262.0,"",4,112.0,9500.0,126.0,5000.0
0,"https://www.bikebros.co.jp/catalog/8/999_73/","ドゥカティ | DUCATI　Xディアベルブラックスター | X Diavel Black Star",2919000,2310.0,1010.0,1133.0,1615.0,755.0,247.0,2,"V型（L型）",1262.0,"",4,118.0,9500.0,127.0,5000.0
0,"https://www.bikebros.co.jp/catalog/8/999_72/","ドゥカティ | DUCATI　Xディアベルダーク | X Diavel Dark","",2310.0,1010.0,1133.0,1615.0,755.0,247.0,2,"V型（L型）",1262.0,"",4,118.0,9500.0,127.0,5000.0
